author_label,issue
Bonomi_Luca_55522738500.csv,missing_persona_row_in_author_music_personas
Liu_Xiaoyue_60053402100.csv,missing_expertise_txt
Liu_Xiaoyue_60053402100.csv,missing_persona_row_in_author_music_personas
Luo_Can_57222656743.csv,missing_expertise_txt
Luo_Can_57222656743.csv,missing_persona_row_in_author_music_personas
Peetz_Allan_36710553200.csv,missing_expertise_txt
Peetz_Allan_36710553200.csv,missing_persona_row_in_author_music_personas
Qu_Chongyu_58311576300.csv,missing_expertise_txt
Qu_Chongyu_58311576300.csv,missing_persona_row_in_author_music_personas
Robinette_Preston_57218558379.csv,missing_expertise_txt
Robinette_Preston_57218558379.csv,missing_persona_row_in_author_music_personas
Belzil_Veronique_35098119100.csv,missing_expertise_txt
Belzil_Veronique_35098119100.csv,missing_persona_row_in_author_music_personas
Dou_Yimeng_57222656741.csv,missing_expertise_txt
Dou_Yimeng_57222656741.csv,missing_persona_row_in_author_music_personas
Du_Yayun_57217196426.csv,missing_expertise_txt
Du_Yayun_57217196426.csv,missing_persona_row_in_author_music_personas
Sardaripour_Neda_57477043100.csv,missing_expertise_txt
Sardaripour_Neda_57477043100.csv,missing_persona_row_in_author_music_personas
Shi_Kaiwen_59469149900.csv,missing_expertise_txt
Shi_Kaiwen_59469149900.csv,missing_persona_row_in_author_music_personas
Swartz_Brandon_58510691100.csv,missing_expertise_txt
Swartz_Brandon_58510691100.csv,missing_persona_row_in_author_music_personas
Topolnjak_Ema_59132415800.csv,missing_expertise_txt
Topolnjak_Ema_59132415800.csv,missing_persona_row_in_author_music_personas
Cho_Chloe_57204478955.csv,missing_expertise_txt
Cho_Chloe_57204478955.csv,missing_persona_row_in_author_music_personas
Guidubaldi_Joseph_58022763600.csv,missing_expertise_txt
Guidubaldi_Joseph_58022763600.csv,missing_persona_row_in_author_music_personas
Hong_Clair_Min_Kyung_57212390821.csv,missing_expertise_txt
Hong_Clair_Min_Kyung_57212390821.csv,missing_persona_row_in_author_music_personas
Li_Xiao_57205028092.csv,missing_expertise_txt
Li_Xiao_57205028092.csv,missing_persona_row_in_author_music_personas
Lord_Nick_57218632790.csv,missing_expertise_txt
Lord_Nick_57218632790.csv,missing_persona_row_in_author_music_personas
Pan_Ying-Chun_57215840981.csv,missing_expertise_txt
Pan_Ying-Chun_57215840981.csv,missing_persona_row_in_author_music_personas
Peters_Alan_7401442416.csv,missing_expertise_txt
Peters_Alan_7401442416.csv,missing_persona_row_in_author_music_personas
Rojas_Juan_36868704800.csv,missing_expertise_txt
Rojas_Juan_36868704800.csv,missing_persona_row_in_author_music_personas
Rubinov_Mikail_26028456500.csv,missing_expertise_txt
Rubinov_Mikail_26028456500.csv,missing_persona_row_in_author_music_personas
Schlunk_Siegfried_57200091816.csv,missing_expertise_txt
Schlunk_Siegfried_57200091816.csv,missing_persona_row_in_author_music_personas
Soubasis_Brandon_57193345634.csv,missing_expertise_txt
Soubasis_Brandon_57193345634.csv,missing_persona_row_in_author_music_personas
Teixeira_da_Silva_Hucke_Andre_59173658700.csv,missing_expertise_txt
Teixeira_da_Silva_Hucke_Andre_59173658700.csv,missing_persona_row_in_author_music_personas
Zhou_Maizie_58250125100.csv,missing_expertise_txt
Zhou_Maizie_58250125100.csv,missing_persona_row_in_author_music_personas
Zhu_Jingyi_57201700580.csv,missing_expertise_txt
Zhu_Jingyi_57201700580.csv,missing_persona_row_in_author_music_personas
